f_Hz,Vpp_in_V,Vpp_out_G1_V,Vpp_out_G2_V,H_G1_dB,H_G2_dB,H_G1_norm_dB,H_G2_norm_dB,diferencia_dB,nota
1,3.120,0.204,0.420,-23.69,-17.42,-23.52,-23.93,-0.40,Sin distorision
2,3.120,0.352,0.760,-18.95,-12.27,-18.78,-18.77,0.01,Sin distorision
3,3.120,0.512,1.120,-15.70,-8.90,-15.53,-15.41,0.12,Sin distorision
4,3.140,,1.440,,-6.77,,-13.28,,Sin distorision
5,3.120,,1.780,,-4.87,,-11.38,,Sin distorision
6,3.120,,2.100,,-3.44,,-9.95,,Sin distorision
7,3.120,1.100,2.380,-9.06,-2.35,-8.89,-8.86,0.03,Sin distorision
8,3.120,,2.660,,-1.39,,-7.89,,Sin distorision
9,3.120,,2.900,,-0.64,,-7.14,,Sin distorision
10,3.120,,3.140,,0.06,,-6.45,,Sin distorision
15,3.120,1.960,4.200,-4.04,2.58,-3.87,-3.93,-0.06,Sin distorision
20,3.120,,4.840,,3.81,,-2.69,,Sin distorision
25,3.120,,5.320,,4.64,,-1.87,,Sin distorision
30,3.200,2.640,5.640,-1.67,4.92,-1.50,-1.59,-0.08,Sin distorision
35,3.200,,5.880,,5.28,,-1.22,,Sin distorision
40,3.200,,6.050,,5.53,,-0.98,,Sin distorision
45,3.200,,6.200,,5.74,,-0.76,,Sin distorision
50,3.200,2.940,6.280,-0.74,5.86,-0.57,-0.65,-0.08,Sin distorision
55,3.200,,6.400,,6.02,,-0.49,,Sin distorision
60,3.200,,6.400,,6.02,,-0.49,,Sin distorision
80,3.120,,6.400,,6.24,,-0.27,,Sin distorision
100,3.040,2.980,6.380,-0.17,6.44,-0.00,-0.07,-0.06,Sin distorision
150,3.120,,6.440,,6.29,,-0.21,,Sin distorision
200,3.080,,6.560,,6.57,,0.06,,Sin distorision
250,3.120,3.060,6.560,-0.17,6.45,0.00,-0.05,-0.05,Sin distorision
300,3.080,,6.560,,6.57,,0.06,,Sin distorision
400,3.080,,6.600,,6.62,,0.11,,Sin distorision
500,3.120,3.060,6.600,-0.17,6.51,0.00,0.00,0.00,Sin distorision
600,3.120,,6.600,,6.51,,0.00,,Sin distorision
800,3.120,,6.600,,6.51,,0.00,,Sin distorision
1000,3.080,3.060,6.640,-0.06,6.67,0.11,0.16,0.05,Sin distorision
1250,3.120,,6.600,,6.51,,0.00,,Sin distorision
1500,3.120,,6.600,,6.51,,0.00,,Sin distorision
1750,3.120,,6.600,,6.51,,0.00,,Sin distorision
2000,3.120,3.060,6.600,-0.17,6.51,0.00,0.00,0.00,Poca distorsion
2500,3.120,3.060,6.560,-0.17,6.45,0.00,-0.05,-0.05,Poca distorsion
3000,3.120,3.060,6.560,-0.17,6.45,0.00,-0.05,-0.05,Hay distorsion
4000,3.080,3.020,6.440,-0.17,6.41,-0.00,-0.10,-0.10,Mucha distorsion
4500,3.080,,6.440,,6.41,,-0.10,,Mucha distorsion
5000,3.120,3.000,6.400,-0.34,6.24,-0.17,-0.27,-0.10,Mucha distorsion
8000,3.080,2.960,6.400,-0.35,6.35,-0.18,-0.16,0.02,Mucha distorsion
10000,3.120,3.000,6.360,-0.34,6.19,-0.17,-0.32,-0.15,Demasiada distorsion
12500,3.120,,6.100,,5.82,,-0.68,,Demasiada distorsion
15000,3.120,2.760,5.480,-1.06,4.89,-0.90,-1.62,-0.72,Demasiada distorsion
17500,3.040,,4.560,,3.52,,-2.99,,Demasiada distorsion
20000,3.040,2.180,3.560,-2.89,1.37,-2.72,-5.14,-2.42,Demasiada distorsion
22500,3.040,,2.480,,-1.77,,-8.28,,Demasiada distorsion
25000,3.040,1.240,1.600,-7.79,-5.58,-7.62,-12.08,-4.46,Demasiada distorsion
27500,3.040,,1.200,,-8.07,,-14.58,,Demasiada distorsion
30000,3.040,0.540,0.720,-15.01,-12.51,-14.84,-19.02,-4.18,Ruido
35000,3.040,0.220,0.300,-22.81,-20.12,-22.64,-26.62,-3.98,Ruido
40000,3.080,0.160,0.160,-25.69,-25.69,-25.52,-32.20,-6.68,Ruido
