Record Length,2000,,Source,CH1
Sample Interval,CH1:0.0000000040000,,Second,Volt
Vertical Units,CH1:V,,-0.00000400000,5.80000,
Vertical Scale,CH1:5.00,,-0.00000399600,5.80000,
Vertical Offset,CH1:-1.50000,,-0.00000399200,5.80000,
Horizontal Units,s,,-0.00000398800,5.80000,
Horizontal Scale,0.0000005000,,-0.00000398400,5.80000,
Model Number,SDS1072CML+,,-0.00000398000,6.00000,
Serial Number,SDS1MCB4166837,,-0.00000397600,6.00000,
Software Version,6.01.01.18,,-0.00000397200,5.80000,
,,,-0.00000396800,5.80000,
,,,-0.00000396400,5.80000,
,,,-0.00000396000,6.00000,
,,,-0.00000395600,6.00000,
,,,-0.00000395200,6.00000,
,,,-0.00000394800,5.80000,
,,,-0.00000394400,5.80000,
,,,-0.00000394000,6.00000,
,,,-0.00000393600,6.00000,
,,,-0.00000393200,5.80000,
,,,-0.00000392800,5.80000,
,,,-0.00000392400,5.80000,
,,,-0.00000392000,6.00000,
,,,-0.00000391600,6.00000,
,,,-0.00000391200,6.00000,
,,,-0.00000390800,6.00000,
,,,-0.00000390400,5.80000,
,,,-0.00000390000,5.80000,
,,,-0.00000389600,6.00000,
,,,-0.00000389200,6.00000,
,,,-0.00000388800,6.00000,
,,,-0.00000388400,5.80000,
,,,-0.00000388000,5.80000,
,,,-0.00000387600,6.00000,
,,,-0.00000387200,6.00000,
,,,-0.00000386800,5.80000,
,,,-0.00000386400,5.80000,
,,,-0.00000386000,5.80000,
,,,-0.00000385600,5.80000,
,,,-0.00000385200,5.80000,
,,,-0.00000384800,5.80000,
,,,-0.00000384400,5.80000,
,,,-0.00000384000,6.00000,
,,,-0.00000383600,6.00000,
,,,-0.00000383200,5.80000,
,,,-0.00000382800,5.80000,
,,,-0.00000382400,5.80000,
,,,-0.00000382000,6.00000,
,,,-0.00000381600,6.00000,
,,,-0.00000381200,6.00000,
,,,-0.00000380800,5.80000,
,,,-0.00000380400,5.80000,
,,,-0.00000380000,5.80000,
,,,-0.00000379600,5.80000,
,,,-0.00000379200,5.80000,
,,,-0.00000378800,5.80000,
,,,-0.00000378400,5.80000,
,,,-0.00000378000,5.80000,
,,,-0.00000377600,5.80000,
,,,-0.00000377200,5.80000,
,,,-0.00000376800,5.80000,
,,,-0.00000376400,5.80000,
,,,-0.00000376000,5.80000,
,,,-0.00000375600,5.80000,
,,,-0.00000375200,5.80000,
,,,-0.00000374800,5.80000,
,,,-0.00000374400,5.80000,
,,,-0.00000374000,6.00000,
,,,-0.00000373600,6.00000,
,,,-0.00000373200,5.80000,
,,,-0.00000372800,5.80000,
,,,-0.00000372400,5.80000,
,,,-0.00000372000,5.80000,
,,,-0.00000371600,6.00000,
,,,-0.00000371200,6.00000,
,,,-0.00000370800,5.80000,
,,,-0.00000370400,5.80000,
,,,-0.00000370000,6.00000,
,,,-0.00000369600,6.00000,
,,,-0.00000369200,6.00000,
,,,-0.00000368800,6.00000,
,,,-0.00000368400,5.80000,
,,,-0.00000368000,5.80000,
,,,-0.00000367600,5.80000,
,,,-0.00000367200,5.80000,
