Vin,Freq,Vosc
"0,002",943,
"0,101",987,
"0,201",1028,
"0,303",1066,
"0,403",1102,
"0,502",1138,
"0,604",1175,
"0,705",1215,
"0,807",1259,
"0,908",1299,
"1,007",1335,
"1,105",1373,
"1,206",1409,
"1,309",1448,
"1,410",1487,
"1,510",1526,
"1,611",1569,
"1,710",1609,
"1,811",1650,
"1,912",1688,
"2,018",1725,
"2,120",1757,
"2,222",1787,
"2,325",1815,
"2,426",1842,
"2,528",1868,
"2,628",1893,
"2,730",1917,
"2,828",1941,"14,050"
"2,926",1964,"14,540"
"3,024",1987,"15,020"
"3,123",2006,"15,510"
"3,221",2025,"16,000"
"3,321",2042,"16,490"
