# fecha            = 2026-08-15T04:42:17
# firmware         = PCM1808_ESP32C3_bin
# f_start_ghz      = 1.0
# f_stop_ghz       = 1.75
# bw_mhz           = 750.0
# t_sweep_ms       = 10.0
# hz_por_metro     = 500.0000
# fs               = 32000
# dec              = 4
# fs_eff           = 8000.0000
# modo             = continuo
# rafaga_on        = 0
# rafaga_off       = 0
# canales          = L
# unidad           = V
# nota             = Primera prueba de verdad
#
# --- volcado de 'info' del firmware ---
# ---------------- ESTADO ----------------
#   fs (reloj ADC)   : 32000 Hz
#   D  (diezmado)    : 4
#   fs_eff (salida)  : 8000.00 Hz
#   Banda util       : DC..4000.0 Hz (Nyquist de fs_eff)
#   Ganancia por prom: +6.0 dB de SNR
#   Modo             : off
#   Canal            : L
#   Unidad / formato : mV / solo numero
#   Captura          : continua
#   Caudal binario   : 32.0 kB/s
#   Fondo de escala  : 3.00 Vpp (+-1.500 V), VCC=5.0 V
#   1 LSB            : 178.8 nV
#   Modo osciloscopio (comando 'plot'):
#     Puntos por barrido : 500  (comando 'n')
#     Cadencia al plotter: 300 pts/s  (comando 'rate')
#     Ventana capturada  : 62.50 ms de senal real
#     Se dibuja en       : 1.67 s
#     Senal maxima visible: 4000 Hz (Nyquist de fs_eff)
#   Recordatorio del pasa-altos del PCM1808:
#     HPF digital interno = 1.9e-5 * fs = 0.61 Hz
#     + el capacitor de acople del modulo contra 60 kohm.
#     Por debajo de ~5 Hz la medida NO es confiable.
# ----------------------------------------
#
idx,V
0,0.00065978
1,0.00065088
2,0.00065053
3,0.00066452
4,0.00068030
5,0.00070426
6,0.00076327
7,0.00079107
8,0.00083649
9,0.00089756
10,0.00097793
11,0.00102858
12,0.00105952
13,0.00103574
14,0.00104414
15,0.00103506
16,0.00101633
17,0.00102009
18,0.00110967
19,0.00113811
20,0.00131026
21,0.00132313
22,0.00132725
23,0.00134191
24,0.00138411
25,0.00140056
26,0.00140306
27,0.00138389
28,0.00133350
29,0.00129202
30,0.00128067
31,0.00140628
32,0.00143489
33,0.00144598
34,0.00143632
35,0.00141773
36,0.00142667
37,0.00146315
38,0.00146887
39,0.00147066
40,0.00148210
41,0.00131974
42,0.00113453
43,0.00101705
44,0.00097829
45,0.00105183
46,0.00098442
47,0.00088634
48,0.00083439
49,0.00078964
50,0.00078495
51,0.00068048
52,0.00056358
53,0.00049035
54,0.00045682
55,0.00042477
56,0.00040528
57,0.00038038
58,0.00037877
59,0.00033997
60,0.00031118
61,0.00027524
62,0.00026116
63,0.00022316
64,0.00016755
65,0.00014216
66,0.00006974
67,-0.00006616
68,-0.00026809
69,-0.00040559
70,-0.00047873
71,-0.00047667
72,-0.00048861
73,-0.00055164
74,-0.00062326
75,-0.00069872
76,-0.00084065
77,-0.00090569
78,-0.00094454
79,-0.00097449
80,-0.00096470
81,-0.00096385
82,-0.00094731
83,-0.00095826
84,-0.00096671
85,-0.00101410
86,-0.00103904
87,-0.00109036
88,-0.00112912
89,-0.00121906
90,-0.00124379
