# fecha            = 2026-08-18T18:05:00
# firmware         = PCM1808_ESP32C3
# f_start_ghz      = 1.0
# f_stop_ghz       = 1.75
# bw_mhz           = 750.0
# t_sweep_ms       = 300.0
# hz_por_metro     = 16.6667
# fs               = 32000
# dec              = 4
# fs_eff           = 8000.0000
# modo             = continuo
# rafaga_on        = 0
# rafaga_off       = 0
# canales          = L
# unidad           = V
# nota             = Primera Prueba GPR
#
# --- volcado de 'info' del firmware ---
# ---------------- ESTADO ----------------
#   fs (reloj ADC)   : 32000 Hz
#   D  (diezmado)    : 4
#   fs_eff (salida)  : 8000.00 Hz
#   Banda util       : DC..4000.0 Hz (Nyquist de fs_eff)
#   Ganancia por prom: +6.0 dB de SNR
#   Modo             : off
#   Canal            : L
#   Unidad / formato : mV / solo numero
#   Captura          : continua
#   Caudal binario   : 32.0 kB/s
#   Fondo de escala  : 3.00 Vpp (+-1.500 V), VCC=5.0 V
#   1 LSB            : 178.8 nV
#   Modo osciloscopio (comando 'plot'):
#     Puntos por barrido : 400  (comando 'n')
#     Cadencia al plotter: 200 pts/s  (comando 'rate')
#     Ventana capturada  : 50.00 ms de senal real
#     Se dibuja en       : 2.00 s
#     Senal maxima visible: 4000 Hz (Nyquist de fs_eff)
#   Recordatorio del pasa-altos del PCM1808:
#     HPF digital interno = 1.9e-5 * fs = 0.61 Hz
#     + el capacitor de acople del modulo contra 60 kohm.
#     Por debajo de ~5 Hz la medida NO es confiable.
# ----------------------------------------
#
idx,V
0,0.14055669
1,0.12657581
2,0.10758631
3,0.08333932
4,0.06571595
5,0.04678135
6,0.02866615
7,0.01309937
8,-0.00172757
9,-0.01983556
10,-0.03463921
11,-0.04844306
12,-0.06154454
13,-0.07226528
14,-0.08244091
15,-0.09416793
16,-0.10216552
17,-0.10909733
18,-0.11326598
19,-0.11542001
20,-0.11269507
21,-0.10507464
22,-0.09649555
23,-0.08439888
24,-0.07041724
25,-0.05208269
26,-0.03402226
27,-0.01318350
28,0.00932229
29,0.02905798
30,0.04771399
31,0.06654158
32,0.08077830
33,0.09207559
34,0.09975886
35,0.10109890
36,0.09527501
37,0.08458489
38,0.07460797
39,0.06242622
40,0.04883981
41,0.03916177
42,0.02890961
43,0.01960243
44,0.01328784
45,0.00667602
46,0.00073148
47,-0.00883037
48,-0.01527938
49,-0.02039355
50,-0.02332842
51,-0.02428624
52,-0.02116446
53,-0.01470789
54,-0.00867552
55,-0.00347234
56,0.00075853
57,0.00302763
58,0.00592589
59,0.00537296
60,0.00372519
61,0.00217657
62,0.00065044
63,0.00139216
64,0.00198251
65,0.00406551
66,0.00775641
67,0.01001917
68,0.01363501
69,0.01760370
70,0.02238384
71,0.02624895
72,0.03114335
73,0.03651233
74,0.04047588
75,0.04482414
76,0.04884875
77,0.05218278
78,0.05437830
79,0.05527143
80,0.05453646
81,0.05351749
82,0.05085924
83,0.04648241
84,0.04195793
85,0.03352685
86,0.02415723
87,0.01483288
88,0.00535011
89,-0.00110994
90,-0.00984433
91,-0.01505882
92,-0.02024040
93,-0.02482228
94,-0.02973774
95,-0.03433500
96,-0.03860857
97,-0.03879520
98,-0.03686669
99,-0.03131399
100,-0.02240328
101,-0.01343872
102,-0.00238609
103,0.01062423
104,0.02463023
105,0.03173152
106,0.03893588
107,0.04645197
108,0.05176462
109,0.06084408
110,0.07103209
111,0.08181819
112,0.09067485
113,0.10150257
114,0.10996994
115,0.11730601
116,0.11939281
117,0.11707883
118,0.10898039
119,0.10031050
120,0.08746742
121,0.07207288
122,0.05545472
123,0.04079559
124,0.02429782
125,0.00433436
126,-0.01038779
127,-0.03109440
128,-0.04775088
129,-0.06622906
130,-0.07884586
131,-0.09570712
132,-0.10968304
133,-0.12121904
134,-0.12721346
135,-0.12712142
136,-0.11979344
137,-0.11020759
138,-0.09502696
139,-0.07992634
140,-0.05520268
141,-0.03796645
142,-0.01911633
143,-0.00061016
144,0.01856250
145,0.03556949
146,0.05331109
147,0.07049386
148,0.08460975
149,0.09587730
150,0.10452171
151,0.10749891
152,0.10805020
153,0.10129800
154,0.08658640
155,0.07204355
156,0.05120753
157,0.02881806
158,0.00356072
159,-0.01833335
160,-0.03770435
161,-0.05248390
162,-0.06461638
163,-0.07280999
164,-0.07670255
165,-0.07734391
166,-0.07388216
167,-0.07002318
168,-0.06354560
169,-0.05515216
170,-0.04805419
171,-0.04069644
172,-0.03405990
173,-0.02801009
174,-0.02347040
175,-0.01822382
176,-0.01301636
177,-0.00789759
178,-0.00432564
179,-0.00217429
180,-0.00142595
181,-0.00092854
182,0.00018632
183,-0.00002646
184,-0.00072554
185,-0.00153181
186,-0.00405304
187,-0.00623251
188,-0.00804663
189,-0.00984938
190,-0.01092651
191,-0.01159412
192,-0.01187056
193,-0.01207750
194,-0.01215559
195,-0.01224473
196,-0.01206462
197,-0.01106898
198,-0.00980276
199,-0.00865880
200,-0.00888214
201,-0.00898321
202,-0.01024671
203,-0.01199985
204,-0.01519078
205,-0.01748885
206,-0.02321854
207,-0.02944556
208,-0.03780618
209,-0.04469106
210,-0.05226919
211,-0.06010835
212,-0.06683569
213,-0.07221258
214,-0.07507811
215,-0.07508925
216,-0.06977883
217,-0.06488340
218,-0.05420315
219,-0.04235172
220,-0.02855314
221,-0.01758300
222,-0.00365549
223,0.00839379
224,0.02464186
225,0.03482585
226,0.04242691
227,0.04793514
228,0.05211376
229,0.05590743
230,0.05783696
231,0.05715354
232,0.05278279
233,0.04794797
234,0.04078858
235,0.03130133
236,0.01990870
237,0.00586483
238,-0.00430816
239,-0.01980449
240,-0.03320982
241,-0.04688792
242,-0.05684298
243,-0.06680837
244,-0.07458302
245,-0.08155923
246,-0.08698171
247,-0.09034167
248,-0.09232816
249,-0.09192976
250,-0.09056532
251,-0.08646771
252,-0.08091107
253,-0.07394350
254,-0.06553777
255,-0.05543531
256,0.04808651
257,0.05494751
258,0.06387426
259,0.06915946
260,0.07582493
261,0.08150639
262,0.08661684
263,0.09155323
264,0.09517202
265,0.09730098
266,0.09890038
267,0.09972882
268,0.10009012
269,0.09921312
270,0.09703445
271,0.09515972
272,0.09154442
273,0.08721533
274,0.08205280
275,0.07477185
276,0.06780325
277,0.05950119
278,0.04935206
279,0.03898148
280,0.02601680
281,0.01188983
282,-0.00129318
283,-0.01357158
284,-0.02886276
285,-0.04281709
286,-0.05685107
287,-0.07232702
288,-0.09342076
289,-0.10992117
290,-0.12504204
291,-0.13865264
292,-0.15153265
293,-0.15732023
294,-0.16266391
295,-0.15924172
296,-0.14989507
297,-0.13688006
298,-0.11895101
299,-0.09552129
300,-0.07236814
301,-0.04101576
302,-0.01198702
303,0.01706421
304,0.05073930
305,0.08304083
306,0.11076893
307,0.13465869
308,0.15276432
309,0.16585283
310,0.17417443
311,0.17857115
312,0.17913531
313,0.17629856
314,0.16776131
315,0.15626451
316,0.14381182
317,0.12830195
318,0.10919219
319,0.09472489
320,0.07633419
321,0.05787250
322,0.03972758
323,0.01927266
324,-0.00221349
325,-0.01878414
326,-0.03966723
327,-0.05813000
328,-0.07592104
329,-0.09201837
330,-0.11080894
331,-0.12529349
332,-0.13678341
333,-0.14744335
334,-0.15502878
335,-0.16088641
336,-0.16082905
337,-0.16198839
338,-0.15545511
339,-0.14489061
340,-0.13026886
341,-0.11091185
342,-0.08370164
343,-0.05056049
344,-0.01498251
345,0.02557620
346,0.06281322
347,0.09850265
348,0.13294700
349,0.15957959
350,0.17816511
351,0.18842737
352,0.19087091
353,0.18498378
354,0.17052922
355,0.14225328
356,0.11871712
357,0.08399655
358,0.04690495
359,0.01430368
360,-0.01619285
361,-0.05121379
362,-0.07412611
363,-0.09575003
364,-0.11317576
365,-0.12284750
366,-0.12947984
367,-0.13235901
368,-0.13358577
369,-0.13073100
370,-0.12475947
371,-0.11657001
372,-0.10641325
373,-0.09427205
374,-0.07990931
375,-0.06743114
376,-0.05124190
377,-0.03582698
378,-0.02031881
379,-0.00431201
