# fecha            = 2026-08-18T18:57:59
# firmware         = PCM1808_ESP32C3
# f_start_ghz      = 1.0
# f_stop_ghz       = 2.0
# bw_mhz           = 1000.0
# t_sweep_ms       = 300.0
# hz_por_metro     = 22.2222
# fs               = 16000
# dec              = 8
# fs_eff           = 2000.0000
# modo             = continuo
# rafaga_on        = 0
# rafaga_off       = 0
# canales          = L
# unidad           = V
# nota             = Cuarta Prueba GPR
#
# --- volcado de 'info' del firmware ---
# ---------------- ESTADO ----------------
#   fs (reloj ADC)   : 16000 Hz
#   D  (diezmado)    : 8
#   fs_eff (salida)  : 2000.00 Hz
#   Banda util       : DC..1000.0 Hz (Nyquist de fs_eff)
#   Ganancia por prom: +9.0 dB de SNR
#   Modo             : off
#   Canal            : L
#   Unidad / formato : mV / solo numero
#   Captura          : continua
#   Caudal binario   : 8.0 kB/s
#   Fondo de escala  : 3.00 Vpp (+-1.500 V), VCC=5.0 V
#   1 LSB            : 178.8 nV
#   Modo osciloscopio (comando 'plot'):
#     Puntos por barrido : 400  (comando 'n')
#     Cadencia al plotter: 200 pts/s  (comando 'rate')
#     Ventana capturada  : 200.00 ms de senal real
#     Se dibuja en       : 2.00 s
#     Senal maxima visible: 1000 Hz (Nyquist de fs_eff)
#   Recordatorio del pasa-altos del PCM1808:
#     HPF digital interno = 1.9e-5 * fs = 0.30 Hz
#     + el capacitor de acople del modulo contra 60 kohm.
#     Por debajo de ~5 Hz la medida NO es confiable.
# ----------------------------------------
#
idx,V
0,-0.00013733
1,-0.00006545
2,0.00018556
3,0.00031652
4,0.00020088
5,0.00034460
6,0.00040517
7,0.00022099
8,0.00027439
9,0.00052831
10,0.00097782
11,0.00118451
12,0.00119714
13,0.00136569
14,0.00177225
15,0.00183553
16,0.00175508
17,0.00175942
18,0.00160074
19,0.00136426
20,0.00110648
21,0.00095484
22,0.00081879
23,0.00060777
24,0.00065345
25,0.00055915
26,0.00054943
27,0.00041590
28,0.00036918
29,0.00044227
30,0.00079342
31,0.00088321
32,0.00096687
33,0.00080200
34,0.00103004
35,0.00111059
36,0.00113261
37,0.00145778
38,0.00156882
39,0.00095460
40,0.00038092
41,0.00033908
42,0.00037824
43,0.00054388
44,0.00082357
45,0.00077701
46,0.00093084
47,0.00073843
48,0.00107735
49,0.00131506
50,0.00128102
51,0.00111312
52,0.00128151
53,0.00160445
54,0.00186579
55,0.00186177
56,0.00196899
57,0.00215167
58,0.00248290
59,0.00275016
60,0.00240549
61,0.00210641
62,0.00199568
63,0.00190162
64,0.00170191
65,0.00134915
66,0.00126135
67,0.00133800
68,0.00123911
69,0.00143883
70,0.00159232
71,0.00163523
72,0.00163344
73,0.00143740
74,0.00135353
75,0.00126495
76,0.00121062
77,0.00120049
78,0.00139734
79,0.00116835
80,0.00115024
81,0.00106743
82,0.00097876
83,0.00091327
84,0.00067285
85,0.00092348
86,0.00104358
87,0.00127970
88,0.00126131
89,0.00146279
90,0.00187670
91,0.00207873
92,0.00192368
93,0.00218028
94,0.00266124
95,0.00266232
96,0.00255963
97,0.00240252
98,0.00234027
99,0.00219458
100,0.00200495
101,0.00213061
102,0.00235797
103,0.00256960
104,0.00267503
105,0.00275820
106,0.00255530
107,0.00231718
108,0.00231260
109,0.00245545
110,0.00238153
111,0.00239597
112,0.00241294
113,0.00262848
114,0.00254251
115,0.00221363
116,0.00199753
117,0.00174800
118,0.00150248
119,0.00162774
120,0.00183526
121,0.00203933
122,0.00207216
123,0.00167973
124,0.00161661
125,0.00165845
126,0.00158333
127,0.00182455
128,0.00217894
129,0.00228723
130,0.00224492
131,0.00216803
132,0.00223151
133,0.00257248
134,0.00278728
135,0.00250047
136,0.00229733
137,0.00211485
138,0.00174636
139,0.00167140
140,0.00176431
141,0.00194985
142,0.00174451
143,0.00145063
144,0.00144770
145,0.00149620
146,0.00163729
147,0.00180280
148,0.00191753
149,0.00217143
150,0.00214872
151,0.00215158
152,0.00218256
153,0.00240259
154,0.00264991
155,0.00213443
156,0.00189858
157,0.00162716
158,0.00162220
159,0.00167942
160,0.00203810
161,0.00218832
162,0.00182366
163,0.00152698
164,0.00167294
165,0.00188772
166,0.00227141
167,0.00223088
168,0.00190620
169,0.00142638
170,0.00115708
171,0.00116258
172,0.00116017
173,0.00134350
174,0.00120644
175,0.00089463
176,0.00105726
177,0.00098169
178,0.00110026
179,0.00122899
180,0.00134745
181,0.00112110
182,0.00082203
183,0.00073345
184,0.00060991
185,0.00044397
186,0.00017897
187,-0.00006750
188,0.00000429
189,0.00018083
190,0.00034151
191,0.00053043
192,0.00063499
193,0.00091499
194,0.00121129
195,0.00116944
196,0.00084834
197,0.00060875
198,0.00045973
199,0.00007633
200,0.00015128
201,0.00008780
202,0.00010400
203,0.00014285
204,0.00018626
205,0.00017481
206,0.00015729
207,0.00023505
208,0.00025818
209,0.00018802
210,0.00024969
211,0.00023492
212,0.00011442
213,0.00037077
214,0.00059237
215,0.00059246
216,0.00068054
217,0.00061335
218,0.00071695
219,0.00082201
220,0.00080220
221,0.00073671
222,0.00035667
223,0.00000114
224,-0.00036630
225,-0.00045595
226,-0.00030376
227,-0.00021999
228,-0.00013536
229,-0.00004119
230,-0.00028726
231,-0.00039044
232,-0.00025955
233,-0.00025231
234,-0.00002253
235,0.00010888
236,0.00034911
237,0.00038771
238,0.00053351
239,0.00037710
240,0.00026967
241,0.00048492
242,0.00063119
243,0.00065647
244,0.00063738
245,0.00056635
246,0.00040542
247,0.00017349
248,-0.00005025
249,-0.00016940
250,-0.00004048
251,0.00023782
252,0.00020573
253,0.00016138
254,0.00016277
255,-0.00016645
256,-0.00028349
257,-0.00034129
258,-0.00065408
259,-0.00073528
260,-0.00062373
261,-0.00037801
262,-0.00023876
263,-0.00005695
264,-0.00023188
265,-0.00047705
266,-0.00061503
267,-0.00070077
268,-0.00070918
269,-0.00081823
270,-0.00093967
271,-0.00081161
272,-0.00071195
273,-0.00042024
274,-0.00008096
275,-0.00013787
276,-0.00019167
277,-0.00007761
278,-0.00026020
279,-0.00060900
280,-0.00050287
281,-0.00002910
282,0.00024082
283,0.00014886
284,0.00001390
285,-0.00043242
286,-0.00073832
287,-0.00052410
288,-0.00038975
289,-0.00041058
290,-0.00046865
291,-0.00060184
292,-0.00068969
293,-0.00060625
294,-0.00072453
295,-0.00126196
296,-0.00128983
297,-0.00163854
298,-0.00205158
299,-0.00228495
300,-0.00262852
301,-0.00246470
302,-0.00204400
303,-0.00169860
304,-0.00132494
305,-0.00085878
306,-0.00069203
307,-0.00031900
308,-0.00005221
309,-0.00003237
310,-0.00034654
311,-0.00038946
312,-0.00097188
313,-0.00126656
314,-0.00135854
315,-0.00140644
316,-0.00141057
317,-0.00120161
318,-0.00047509
319,-0.00037772
320,-0.00079148
321,-0.00082199
322,-0.00099007
323,-0.00119461
324,-0.00104345
325,-0.00116859
326,-0.00096850
327,-0.00103940
328,-0.00110199
329,-0.00105460
330,-0.00113504
331,-0.00097983
332,-0.00099642
333,-0.00122792
334,-0.00133755
335,-0.00151712
336,-0.00143275
337,-0.00134989
338,-0.00106542
339,-0.00091247
340,-0.00113261
341,-0.00084981
342,-0.00066000
343,-0.00041559
344,-0.00029091
345,-0.00039091
346,-0.00016746
347,-0.00026963
348,-0.00027743
349,-0.00022079
350,-0.00011632
351,-0.00005239
352,0.00004917
353,-0.00000340
354,0.00006911
355,0.00006527
356,0.00005657
357,-0.00002193
358,-0.00013572
359,-0.00041445
360,-0.00063135
361,-0.00050859
362,-0.00037564
363,-0.00044695
364,-0.00027274
365,-0.00031536
366,-0.00042732
367,-0.00081258
368,-0.00085679
369,-0.00098068
370,-0.00095641
371,-0.00082985
372,-0.00101982
373,-0.00140472
374,-0.00102051
375,-0.00110532
376,-0.00081588
377,-0.00086103
378,-0.00108857
379,-0.00070623
380,-0.00041326
381,-0.00031686
382,-0.00022718
383,-0.00040711
384,-0.00028208
385,-0.00035474
386,-0.00039978
387,-0.00036666
388,-0.00053430
389,-0.00049243
390,-0.00064907
391,-0.00080196
392,-0.00093770
393,-0.00093222
394,-0.00066233
395,-0.00082395
396,-0.00045506
397,-0.00017045
398,-0.00024804
399,-0.00043512
400,-0.00090259
401,-0.00099159
402,-0.00095212
403,-0.00076155
404,-0.00061568
405,-0.00070569
406,-0.00076747
407,-0.00071758
408,-0.00058012
409,-0.00062153
410,-0.00058032
411,-0.00066590
412,-0.00098502
413,-0.00133900
414,-0.00143811
415,-0.00166581
416,-0.00113259
417,-0.00084188
418,-0.00092389
419,-0.00113151
420,-0.00121294
421,-0.00110771
422,-0.00066595
423,-0.00031661
424,-0.00073906
425,-0.00100516
426,-0.00131464
427,-0.00163020
428,-0.00126681
429,-0.00130791
430,-0.00108942
431,-0.00092069
432,-0.00079999
433,-0.00070176
434,-0.00045459
435,-0.00073336
436,-0.00075263
437,-0.00062835
438,-0.00101618
439,-0.00119689
440,-0.00118069
441,-0.00097036
442,-0.00033789
443,-0.00072715
444,-0.00097818
445,-0.00098578
446,-0.00052612
447,-0.00013682
448,-0.00051601
449,-0.00063220
450,-0.00033659
451,-0.00007832
452,-0.00004989
453,-0.00017510
454,-0.00017830
455,-0.00024294
456,-0.00001287
457,-0.00042218
458,-0.00067393
459,-0.00084695
460,-0.00096408
461,-0.00110503
462,-0.00108500
463,-0.00103082
464,-0.00100118
465,-0.00088598
466,-0.00094675
467,-0.00089736
468,-0.00108618
469,-0.00156903
470,-0.00180522
471,-0.00183056
