# fecha            = 2026-08-18T19:00:37
# firmware         = PCM1808_ESP32C3
# f_start_ghz      = 1.0
# f_stop_ghz       = 2.0
# bw_mhz           = 1000.0
# t_sweep_ms       = 300.0
# hz_por_metro     = 22.2222
# fs               = 32000
# dec              = 8
# fs_eff           = 4000.0000
# modo             = continuo
# rafaga_on        = 0
# rafaga_off       = 0
# canales          = L
# unidad           = V
# nota             = Quinta Prueba GPR
#
# --- volcado de 'info' del firmware ---
# ---------------- ESTADO ----------------
#   fs (reloj ADC)   : 32000 Hz
#   D  (diezmado)    : 8
#   fs_eff (salida)  : 4000.00 Hz
#   Banda util       : DC..2000.0 Hz (Nyquist de fs_eff)
#   Ganancia por prom: +9.0 dB de SNR
#   Modo             : off
#   Canal            : L
#   Unidad / formato : mV / solo numero
#   Captura          : continua
#   Caudal binario   : 16.0 kB/s
#   Fondo de escala  : 3.00 Vpp (+-1.500 V), VCC=5.0 V
#   1 LSB            : 178.8 nV
#   Modo osciloscopio (comando 'plot'):
#     Puntos por barrido : 400  (comando 'n')
#     Cadencia al plotter: 200 pts/s  (comando 'rate')
#     Ventana capturada  : 100.00 ms de senal real
#     Se dibuja en       : 2.00 s
#     Senal maxima visible: 2000 Hz (Nyquist de fs_eff)
#   Recordatorio del pasa-altos del PCM1808:
#     HPF digital interno = 1.9e-5 * fs = 0.61 Hz
#     + el capacitor de acople del modulo contra 60 kohm.
#     Por debajo de ~5 Hz la medida NO es confiable.
# ----------------------------------------
#
idx,V
0,-0.11990156
1,-0.20417221
2,-0.28054273
3,-0.34206361
4,-0.34544101
5,-0.26343679
6,-0.13283001
7,-0.01038160
8,0.11463674
9,0.22679959
10,0.28896686
11,0.29672629
12,0.24617606
13,0.17726439
14,0.09891837
15,0.02178193
16,-0.05921307
17,-0.14309347
18,-0.22672030
19,-0.30468881
20,-0.35408780
21,-0.35127464
22,-0.26868883
23,-0.13849673
24,0.02827010
25,0.20908123
26,0.32753003
27,0.33395022
28,0.23353525
29,0.11841405
30,0.01967729
31,-0.05506211
32,-0.11266328
33,-0.15574381
34,-0.18395558
35,-0.19350621
36,-0.18535051
37,-0.15870854
38,-0.12543058
39,-0.09142759
40,-0.05329382
41,-0.00352927
42,0.05825282
43,0.13546553
44,0.20459273
45,0.24567112
46,0.22715822
47,0.15345442
48,0.06135249
49,-0.01967199
50,-0.07661129
51,-0.11663926
52,-0.13838074
53,-0.14430490
54,-0.14170982
55,-0.13070315
56,-0.11097130
57,-0.08433218
58,-0.04514359
59,0.00043175
60,0.04693155
61,0.09040117
62,0.12937278
63,0.15445530
64,0.16661364
65,0.17126712
66,0.16681418
67,0.12929262
68,0.05465790
69,-0.03385851
70,-0.11629763
71,-0.17053533
72,-0.19746566
73,-0.21081105
74,-0.21079117
75,-0.18814075
76,-0.13994735
77,-0.06263584
78,0.03005715
79,0.13491768
80,0.23472291
81,0.28962976
82,0.29609334
83,0.25511491
84,0.18932833
85,0.11126225
86,0.01008251
87,-0.09024339
88,-0.16651031
89,-0.21563780
90,-0.22593209
91,-0.19978957
92,-0.13683063
93,-0.04721837
94,0.06657864
95,0.18588597
96,0.27308843
97,0.28494731
98,0.21703233
99,0.09100800
100,-0.03501137
101,-0.09921118
102,-0.11318330
103,-0.09754901
104,-0.06803059
105,-0.03655516
106,-0.01199158
107,0.00791600
108,0.02542254
109,0.03618801
110,0.05032229
111,0.06949849
112,0.09244902
113,0.11526476
114,0.13427028
115,0.13568661
116,0.09233811
117,0.02013431
118,-0.05218794
119,-0.08502524
120,-0.09455542
121,-0.08570136
122,-0.06211133
123,-0.01978350
124,0.02347259
125,0.06295918
126,0.09203712
127,0.11056264
128,0.11255993
129,0.09647226
130,0.06672440
131,0.03662787
132,0.01371416
133,0.00327341
134,0.00719040
135,0.02028383
136,0.03761733
137,0.04390045
138,0.02034789
139,-0.02446255
140,-0.06980232
141,-0.09787408
142,-0.09453059
143,-0.07124334
144,-0.03709196
145,-0.00026858
146,0.03495625
147,0.07487429
148,0.11257533
149,0.12812576
150,0.11264654
151,0.06584416
152,0.00367720
153,-0.06889873
154,-0.13569829
155,-0.18331146
156,-0.17510828
157,-0.11046977
158,-0.04202228
159,0.01626943
160,0.06588759
161,0.10534666
162,0.12468340
163,0.12599717
164,0.11233377
165,0.08406575
166,0.04784218
167,0.00607578
168,-0.04064208
169,-0.09728307
170,-0.15274148
171,-0.19144163
172,-0.20068851
173,-0.16021529
174,-0.08306741
175,0.01933160
176,0.12242188
177,0.20461683
178,0.25305980
179,0.23949546
180,0.16690224
181,0.07216430
182,-0.04394598
183,-0.14830622
184,-0.22134013
185,-0.25682253
186,-0.24274370
187,-0.18779796
188,-0.10703125
189,-0.02621705
190,0.02986857
191,0.06882309
192,0.08669841
193,0.09824820
194,0.11218250
195,0.12428720
196,0.12335888
197,0.10568100
198,0.07500952
199,0.02927676
200,-0.02868830
201,-0.08816922
202,-0.13815598
203,-0.16574366
204,-0.15507829
205,-0.10646986
206,-0.01836877
207,0.09123724
208,0.15549746
209,0.15526982
210,0.11477879
211,0.05092364
212,-0.01278408
213,-0.05748043
214,-0.06117227
215,-0.02989040
216,0.01982805
217,0.06905595
218,0.10155076
219,0.11204526
220,0.09249352
221,0.03734366
222,-0.04314087
223,-0.13616627
224,-0.19453445
225,-0.18790007
226,-0.10364702
227,0.01092790
228,0.13668901
229,0.23494980
230,0.27422431
231,0.24238582
232,0.16067436
233,0.02949084
234,-0.10289604
235,-0.19721358
236,-0.23945138
237,-0.24358383
238,-0.21453913
239,-0.16382679
240,-0.09418331
241,-0.00815354
242,0.07057558
243,0.13248903
244,0.17336160
245,0.19016704
246,0.18412235
247,0.15974712
248,0.11815893
249,0.06937949
250,0.01459153
251,-0.04372749
252,-0.09400966
253,-0.13626763
254,-0.16241175
255,-0.16832104
256,-0.10417195
257,-0.08973337
258,-0.06425484
259,-0.03039546
260,0.00667588
261,0.04469363
262,0.07429265
263,0.09399864
264,0.09981903
265,0.09518543
266,0.08427326
267,0.06998786
268,0.05423755
269,0.03801768
270,0.02408952
271,0.00979266
272,-0.00367299
273,-0.01753850
274,-0.03005075
275,-0.04304820
276,-0.05316529
277,-0.06147248
278,-0.06664158
279,-0.06903358
280,-0.06870029
281,-0.06467555
282,-0.05744378
283,-0.04707018
284,-0.03404389
285,-0.01822027
286,-0.00476908
287,0.01223110
288,0.02827357
289,0.04071940
290,0.04927153
291,0.05170673
292,0.04604944
293,0.03116427
294,0.01389181
295,-0.00165653
296,-0.01302130
297,-0.01754424
298,-0.01712713
299,-0.01409856
300,-0.01089958
301,-0.00899063
302,-0.00814596
303,-0.00769725
304,-0.00715430
305,-0.00583906
306,-0.00437734
307,-0.00143583
308,0.00022937
309,0.00096222
310,0.00092887
311,0.00009140
312,-0.00137208
313,-0.00297236
314,-0.00435045
315,-0.00533601
316,-0.00641917
317,-0.00712151
318,-0.00669674
319,-0.00525930
320,-0.00335102
321,0.00017016
322,0.00394696
323,0.00816295
324,0.01181191
325,0.01323029
326,0.01274429
327,0.01164709
328,0.01134894
329,0.01227701
330,0.01386530
331,0.01548627
332,0.01649020
333,0.01610751
334,0.01376266
335,0.00893933
336,0.00267535
337,-0.00501580
338,-0.01462743
339,-0.02421404
340,-0.03207900
341,-0.03906295
342,-0.04378628
343,-0.04649477
344,-0.04666313
345,-0.04392788
346,-0.03891943
347,-0.03143446
348,-0.01801157
349,0.00142347
350,0.01857271
351,0.02979800
352,0.04274985
353,0.05419267
354,0.05836719
355,0.05249671
356,0.03986143
357,0.02613021
358,0.00987905
359,-0.00687743
360,-0.02517175
361,-0.04285491
362,-0.05728506
363,-0.06956649
364,-0.07927948
365,-0.08612694
366,-0.08968348
367,-0.08909293
368,-0.08545473
369,-0.07989713
370,-0.07105149
371,-0.07343437
372,-0.07432066
373,-0.07205920
374,-0.06688497
375,-0.05867084
376,-0.04661261
377,-0.03248741
378,-0.01739046
379,-0.00099009
380,0.01686446
381,0.03352710
382,0.04815323
383,0.06033399
384,0.07089597
385,0.07788628
386,0.07811873
387,0.06843357
388,0.05187495
389,0.03565226
390,0.02193359
391,0.00475576
392,-0.01526528
393,-0.02641641
394,-0.03133703
395,-0.03342730
396,-0.03274588
397,-0.02984807
398,-0.02421297
399,-0.01663935
400,-0.00810313
401,0.00027475
402,0.01092882
403,0.01972320
404,0.02750976
405,0.03204963
406,0.03504664
407,0.03534009
408,0.03354914
409,0.03058679
410,0.02719878
411,0.02402419
412,0.02189974
413,0.02115478
414,0.02125400
415,0.02082404
416,0.01856965
417,0.01423124
418,0.00980627
419,0.00582370
420,0.00307421
421,0.00086904
422,-0.00018094
423,-0.00041552
424,0.00057583
425,0.00156829
426,0.00253482
427,0.00388520
428,0.00538833
429,0.00658999
430,0.00693934
431,0.00666370
432,0.00552461
433,0.00370581
434,0.00143100
435,-0.00051789
436,-0.00147727
437,-0.00165363
438,-0.00154310
439,-0.00173199
440,-0.00229615
441,-0.00467514
442,-0.00586027
443,-0.00425881
444,0.00120201
445,0.01382111
446,0.02930380
447,0.04461023
448,0.05578834
449,0.05716532
450,0.05039656
451,0.03749900
452,0.02216752
453,0.00483685
454,-0.01136662
455,-0.02534882
456,-0.03849171
457,-0.04791348
458,-0.05384698
459,-0.05601244
460,-0.05541924
461,-0.05100815
462,-0.04376107
463,-0.03436553
464,-0.02276328
465,-0.00997619
466,0.00414386
467,0.01805265
468,0.03160337
469,0.04449306
470,0.05600893
471,0.06718531
472,0.07809661
473,0.08808240
474,0.09561034
475,0.10029403
476,0.09719501
477,0.08426689
478,0.05915815
479,0.02474172
480,-0.01164510
481,-0.04873732
482,-0.07671804
483,-0.09959024
484,-0.10697546
485,-0.10363436
486,-0.09207581
487,-0.07701243
488,-0.05598202
489,-0.03357846
490,-0.01214475
491,0.01284018
492,0.03379726
493,0.05109818
494,0.06708486
495,0.07779177
496,0.08423996
497,0.08637296
498,0.08618782
499,0.08200034
500,0.07418295
501,0.06317476
502,0.04887416
503,0.03160040
504,0.01224364
505,-0.00567412
506,-0.02801777
507,-0.04955459
508,-0.06754620
509,-0.08298896
510,-0.09118301
511,-0.09106743
512,0.13163459
513,0.01693833
514,-0.08710192
515,-0.16866434
516,-0.17599802
517,-0.11913744
518,-0.03126027
519,0.04893681
520,0.09686105
521,0.10915019
522,0.09130132
523,0.04945524
524,-0.00663514
525,-0.05886331
526,-0.08598878
527,-0.07839963
528,-0.02539095
529,0.04855728
530,0.11559454
531,0.16446623
532,0.16845922
533,0.10308583
534,-0.01398128
535,-0.12128136
536,-0.19008353
537,-0.20646398
538,-0.17750832
539,-0.12019587
540,-0.04894750
541,0.02215357
542,0.07440356
543,0.11159829
544,0.12702692
545,0.12864730
546,0.11529462
547,0.09563559
548,0.07915872
549,0.05838306
550,0.02089175
551,-0.03651649
552,-0.11575612
553,-0.19801462
554,-0.25960112
555,-0.27552494
556,-0.24356671
557,-0.16521662
558,-0.05146426
559,0.08488660
560,0.19380483
561,0.26576930
562,0.28014544
563,0.22607595
564,0.13550004
565,0.02876528
566,-0.06786677
567,-0.14427078
568,-0.17576969
569,-0.16801262
570,-0.13129041
571,-0.08187056
572,-0.03108320
573,0.00911578
574,0.04192684
575,0.07196854
576,0.09400566
577,0.11213811
578,0.12232237
579,0.11833692
580,0.09468039
581,0.05583094
582,0.00652691
583,-0.06042536
584,-0.13677379
585,-0.17308730
586,-0.14221300
587,-0.07491206
588,-0.00182484
589,0.07154064
590,0.12408084
591,0.14695829
592,0.13343102
593,0.09449366
594,0.05351707
595,0.01824472
596,-0.01192273
597,-0.04030406
598,-0.05918095
599,-0.06211006
600,-0.04114410
601,-0.00556912
602,0.02372070
603,0.02843716
604,0.01132502
605,-0.00440783
606,-0.01071949
607,-0.00248522
608,0.02090199
609,0.05268509
610,0.08919579
611,0.11936780
612,0.13144590
613,0.11717836
614,0.08518354
615,0.04440654
616,-0.00069427
617,-0.05187730
618,-0.08945862
619,-0.11416528
620,-0.12117239
621,-0.11231328
622,-0.07900009
623,-0.01653814
624,0.05976715
625,0.10266039
626,0.11115128
627,0.09644050
628,0.07637972
629,0.05129372
630,0.02883699
631,0.00970725
632,-0.00561858
633,-0.02565106
634,-0.04903514
635,-0.07277177
636,-0.10169133
637,-0.13300997
638,-0.14639723
639,-0.13043645
640,-0.06920464
641,0.04789189
642,0.17222585
643,0.23616421
644,0.23491064
645,0.15104730
646,0.02701235
647,-0.08621420
648,-0.17359090
649,-0.22446731
650,-0.24368483
651,-0.22698072
652,-0.17995331
653,-0.10911267
654,-0.01991867
655,0.06676729
656,0.13074666
657,0.18594539
658,0.22764690
659,0.23477715
660,0.19554669
661,0.11024961
662,0.00351515
663,-0.08968782
664,-0.16863847
665,-0.21755362
666,-0.23528469
667,-0.23139082
668,-0.21551460
669,-0.18904048
670,-0.13776577
671,-0.06690884
672,0.01348642
673,0.08572009
674,0.11666022
675,0.12545222
676,0.13256231
677,0.13558903
678,0.11755543
679,0.08536743
680,0.04335762
681,-0.00236014
682,-0.04741243
683,-0.08647180
684,-0.11235472
685,-0.13100773
686,-0.14449583
687,-0.14974043
688,-0.14840551
689,-0.13273177
690,-0.10267306
691,-0.05652858
692,0.01140359
693,0.09540016
694,0.18258914
695,0.23885715
696,0.23321223
697,0.17560239
698,0.09699444
699,0.02450497
700,-0.04166298
701,-0.10144638
702,-0.14683311
703,-0.18391418
704,-0.21271813
705,-0.22200480
706,-0.21006069
707,-0.17611256
708,-0.12293074
709,-0.06162851
710,0.01834906
711,0.11109719
712,0.21884649
713,0.32334661
714,0.35862684
715,0.26577881
716,0.09581114
717,-0.08329084
718,-0.22034910
719,-0.31855136
720,-0.35149038
721,-0.30246973
722,-0.21391320
723,-0.12623885
724,-0.04935070
725,0.02642526
726,0.10737383
727,0.17731579
728,0.24076581
729,0.30351567
730,0.32703152
731,0.28000784
732,0.18422712
733,0.05549658
734,-0.07904564
735,-0.22743720
736,-0.33645391
737,-0.35492286
738,-0.28855622
739,-0.20115167
740,-0.10878345
741,-0.00008697
742,0.11228071
743,0.19991550
744,0.25561666
745,0.27119222
746,0.24890260
747,0.19408496
748,0.10106539
749,-0.01807243
750,-0.11974175
751,-0.18381210
752,-0.22070318
753,-0.17176440
754,-0.06829342
755,0.03350343
756,0.11370054
757,0.16923133
758,0.18315563
759,0.14074671
760,0.07073501
761,-0.00407812
762,-0.07074983
763,-0.13053851
764,-0.16308650
765,-0.08225043
766,0.01307622
767,0.07987154
768,0.01231440
769,0.03590747
770,0.05940163
771,0.08663884
772,0.10700233
773,0.10034484
774,0.05761850
775,-0.00777597
776,-0.07971121
777,-0.13836786
778,-0.17533095
779,-0.16135162
780,-0.09163557
781,-0.00635268
782,0.06132719
783,0.09162918
784,0.10180711
785,0.08817621
786,0.05670650
787,0.02634155
788,0.00385568
789,-0.01363914
790,-0.03211686
791,-0.05091235
792,-0.07525950
793,-0.10364436
794,-0.12998061
795,-0.14255992
796,-0.12930289
797,-0.08714211
798,-0.00834896
799,0.08336205
800,0.17555635
801,0.24350461
802,0.26126415
803,0.20250967
804,0.10087815
805,-0.02651464
806,-0.16658610
807,-0.26598451
808,-0.30590463
809,-0.28805488
810,-0.22676530
811,-0.13328350
812,-0.03429063
813,0.05138880
814,0.10760381
815,0.13331611
816,0.14255500
817,0.14529210
818,0.14632398
819,0.13870102
820,0.11428180
821,0.07635076
822,0.02217887
823,-0.04606066
824,-0.11865440
825,-0.18401301
826,-0.21564782
827,-0.19856711
828,-0.13238665
829,-0.02653690
830,0.10137136
831,0.20975268
832,0.23479623
833,0.18954407
834,0.11108691
835,0.02448953
836,-0.05801037
837,-0.11304452
838,-0.11318220
839,-0.06737995
840,-0.00371048
841,0.05847274
842,0.09661561
843,0.10615622
844,0.08137482
845,0.03200260
846,-0.03526774
847,-0.09607210
848,-0.12193481
849,-0.08737408
850,-0.00575437
851,0.08399257
852,0.15967703
853,0.20201337
854,0.19610578
855,0.13432041
856,0.02594027
857,-0.08518378
858,-0.16643438
859,-0.20373106
860,-0.20424776
861,-0.17738324
862,-0.12622607
863,-0.06035746
864,0.00938932
865,0.07451952
866,0.12723428
867,0.15836713
868,0.17277518
869,0.16584496
870,0.14241345
871,0.09999847
872,0.05090328
873,-0.00046121
874,-0.05386604
875,-0.09534431
876,-0.12863669
877,-0.14710562
878,-0.15078659
879,-0.13774374
880,-0.11039838
881,-0.07154240
882,-0.03015914
883,0.00789705
884,0.04993093
885,0.08073829
886,0.10324994
887,0.11611752
888,0.11900251
889,0.11270352
890,0.09486962
891,0.06964841
892,0.03326138
893,-0.00775684
894,-0.04583636
895,-0.07598765
896,-0.09566069
897,-0.09968678
898,-0.09011650
899,-0.07447831
900,-0.04495485
901,-0.01114791
902,0.02205484
903,0.05336999
904,0.07837549
905,0.09508659
906,0.10126515
907,0.10013475
908,0.09049876
909,0.07480406
910,0.05717614
911,0.03646266
912,0.01492991
913,-0.00417459
914,-0.02862813
915,-0.05209813
916,-0.06599148
917,-0.07105549
918,-0.06623628
919,-0.05663408
920,-0.04070393
921,-0.01983554
922,-0.00150731
923,0.01826352
924,0.03426017
925,0.04511214
926,0.05460063
927,0.05899579
928,0.05750448
929,0.04995237
930,0.03646414
931,0.01694486
932,-0.00627608
933,-0.02696268
934,-0.03320485
935,-0.02278557
936,-0.00716040
937,0.01194236
938,0.01853786
939,0.01236691
940,-0.00233008
941,-0.02253760
942,-0.04305142
943,-0.05120384
944,-0.04099540
945,-0.01990727
946,0.00320144
947,0.02600708
948,0.04961644
949,0.07110534
950,0.09027366
951,0.10096856
952,0.09366768
953,0.05701534
954,-0.01200566
955,-0.08374896
956,-0.12312806
957,-0.11747713
958,-0.08082931
959,-0.03213378
960,0.00822276
961,0.03801014
962,0.06291765
963,0.08346201
964,0.09913255
965,0.10517690
966,0.10041084
967,0.08645752
968,0.06197139
969,0.02525528
970,-0.02199273
971,-0.06938189
972,-0.10193304
973,-0.11423439
974,-0.10879795
975,-0.08114688
976,-0.02963535
977,0.02373596
978,0.06889596
979,0.09507823
980,0.10304844
981,0.09797115
982,0.08527462
983,0.06688195
984,0.04843877
985,0.02749166
986,0.00628810
987,-0.01139373
988,-0.03176428
989,-0.04852315
990,-0.06079587
991,-0.07022477
992,-0.07415722
993,-0.06448665
994,-0.04292171
995,-0.01272035
996,0.02081734
997,0.04446803
998,0.05831894
999,0.05867585
1000,0.05169350
1001,0.03764487
1002,0.02055135
1003,0.00339121
1004,-0.01415867
1005,-0.03245053
1006,-0.04501154
1007,-0.05219382
1008,-0.05300096
1009,-0.04719119
1010,-0.03574752
1011,-0.02379678
1012,-0.01145174
1013,0.00095690
1014,0.01285681
1015,0.02222143
1016,0.02841291
1017,0.02655499
1018,0.01759066
1019,0.00423604
1020,-0.01036077
1021,-0.02350954
1022,-0.03230012
1023,-0.03637972
1024,-0.00307719
1025,-0.00072408
1026,0.00121701
1027,0.00432173
1028,0.00662756
1029,0.00759309
1030,0.00688666
1031,0.00467791
1032,0.00132899
1033,-0.00374106
1034,-0.00861528
1035,-0.01206008
1036,-0.01351018
1037,-0.01090906
1038,-0.00460582
1039,0.00372881
1040,0.01435914
1041,0.02334888
1042,0.03117505
1043,0.03911832
1044,0.04377097
1045,0.04404663
1046,0.04059474
1047,0.03608409
1048,0.03123075
1049,0.02548919
1050,0.01928799
1051,0.01337175
1052,0.00783999
1053,0.00129995
1054,-0.00468716
1055,-0.01171694
1056,-0.01878628
1057,-0.02622423
1058,-0.03300060
1059,-0.03898470
1060,-0.04225063
1061,-0.04420117
1062,-0.04417361
1063,-0.04258052
1064,-0.03942543
1065,-0.03443994
1066,-0.02564509
1067,-0.01140989
1068,0.00834744
1069,0.03461315
1070,0.06222904
1071,0.08742815
1072,0.10241930
1073,0.10234934
1074,0.09249620
1075,0.07289636
1076,0.05095786
1077,0.02768596
1078,0.00422057
1079,-0.01543412
1080,-0.03315682
1081,-0.04607910
1082,-0.05685539
1083,-0.06350040
1084,-0.06629723
1085,-0.06530935
1086,-0.06204882
1087,-0.05534470
1088,-0.04594857
1089,-0.03494447
1090,-0.02023988
1091,-0.00676265
1092,0.00632932
1093,0.02136239
1094,0.03738094
1095,0.05241168
1096,0.06752057
1097,0.08431157
1098,0.09873138
1099,0.11139315
1100,0.11763896
1101,0.11631216
1102,0.10227764
1103,0.07672651
1104,0.04407994
1105,0.00482049
1106,-0.03376792
1107,-0.06561358
1108,-0.08504713
1109,-0.09723658
1110,-0.09622841
1111,-0.08732846
1112,-0.07336541
1113,-0.05383679
1114,-0.03258379
1115,-0.01150618
1116,0.00569838
1117,0.02345820
1118,0.03687139
1119,0.04572292
1120,0.05312987
1121,0.05740403
1122,0.06012035
1123,0.06130394
1124,0.06136519
1125,0.05941319
1126,0.05550925
1127,0.04924317
1128,0.04085094
1129,0.03101040
1130,0.01890859
1131,0.00344733
1132,-0.01292228
1133,-0.02940926
1134,-0.04144777
1135,-0.05079690
1136,-0.05588785
1137,-0.05585050
1138,-0.05076733
1139,-0.04027149
1140,-0.02581391
1141,-0.01014407
1142,0.00712468
1143,0.02458144
1144,0.03851527
1145,0.04829999
1146,0.05535766
1147,0.05652145
