# fecha            = 2026-08-18T19:03:38
# firmware         = PCM1808_ESP32C3
# f_start_ghz      = 1.0
# f_stop_ghz       = 2.0
# bw_mhz           = 1000.0
# t_sweep_ms       = 300.0
# hz_por_metro     = 22.2222
# fs               = 64000
# dec              = 16
# fs_eff           = 4000.0000
# modo             = continuo
# rafaga_on        = 0
# rafaga_off       = 0
# canales          = L
# unidad           = V
# nota             = Sexta Prueba GPR
#
# --- volcado de 'info' del firmware ---
# ---------------- ESTADO ----------------
#   fs (reloj ADC)   : 64000 Hz
#   D  (diezmado)    : 16
#   fs_eff (salida)  : 4000.00 Hz
#   Banda util       : DC..2000.0 Hz (Nyquist de fs_eff)
#   Ganancia por prom: +12.0 dB de SNR
#   Modo             : off
#   Canal            : L
#   Unidad / formato : mV / solo numero
#   Captura          : continua
#   Caudal binario   : 16.0 kB/s
#   Fondo de escala  : 3.00 Vpp (+-1.500 V), VCC=5.0 V
#   1 LSB            : 178.8 nV
#   Modo osciloscopio (comando 'plot'):
#     Puntos por barrido : 400  (comando 'n')
#     Cadencia al plotter: 200 pts/s  (comando 'rate')
#     Ventana capturada  : 100.00 ms de senal real
#     Se dibuja en       : 2.00 s
#     Senal maxima visible: 2000 Hz (Nyquist de fs_eff)
#   Recordatorio del pasa-altos del PCM1808:
#     HPF digital interno = 1.9e-5 * fs = 1.22 Hz
#     + el capacitor de acople del modulo contra 60 kohm.
#     Por debajo de ~5 Hz la medida NO es confiable.
# ----------------------------------------
#
idx,V
0,0.03571963
1,0.04484275
2,0.04902514
3,0.04661855
4,0.04062254
5,0.03130919
6,0.02065455
7,0.00713453
8,-0.00864684
9,-0.02475439
10,-0.03260173
11,-0.03373696
12,-0.03005654
13,-0.02400911
14,-0.01423999
15,-0.00423669
16,0.00931592
17,0.02530523
18,0.04173500
19,0.05893448
20,0.06966707
21,0.06509551
22,0.04639791
23,0.01226304
24,-0.03025362
25,-0.06668037
26,-0.08677182
27,-0.08930486
28,-0.07446449
29,-0.04252768
30,-0.00482830
31,0.03193916
32,0.06720787
33,0.09399803
34,0.10321983
35,0.09151637
36,0.06110069
37,0.02419194
38,-0.01943542
39,-0.05840925
40,-0.08968717
41,-0.11532518
42,-0.12152544
43,-0.11072427
44,-0.08587901
45,-0.05006137
46,-0.00568295
47,0.04026233
48,0.07637887
49,0.09848022
50,0.10237659
51,0.09528268
52,0.08410834
53,0.06885982
54,0.04497610
55,0.01401808
56,-0.02025435
57,-0.05965687
58,-0.09014337
59,-0.11140396
60,-0.11515957
61,-0.10368112
62,-0.08286592
63,-0.05130672
64,-0.00793343
65,0.04533346
66,0.10698467
67,0.16406223
68,0.19197902
69,0.18523465
70,0.13517889
71,0.04713804
72,-0.05630011
73,-0.13840836
74,-0.17352505
75,-0.17234579
76,-0.12606080
77,-0.04296444
78,0.04416291
79,0.11359802
80,0.15048680
81,0.15946522
82,0.15077028
83,0.12576200
84,0.08217812
85,0.02730468
86,-0.03879956
87,-0.10115375
88,-0.13240123
89,-0.13292587
90,-0.10540108
91,-0.05829106
92,0.01291323
93,0.08529713
94,0.13324496
95,0.13870311
96,0.10918139
97,0.06015781
98,0.01167639
99,-0.02634009
100,-0.05691546
101,-0.07576558
102,-0.08681855
103,-0.08275720
104,-0.05825209
105,-0.01708439
106,0.02885678
107,0.06615895
108,0.08541201
109,0.08597872
110,0.06237445
111,0.02452439
112,-0.02479281
113,-0.07106119
114,-0.10743693
115,-0.11899132
116,-0.11435703
117,-0.09488150
118,-0.05436738
119,0.01274125
120,0.08798225
121,0.14301732
122,0.14928132
123,0.10076974
124,0.02717873
125,-0.05397637
126,-0.11755771
127,-0.14040352
128,-0.12114749
129,-0.07854131
130,-0.02670458
131,0.02688611
132,0.07107960
133,0.10268137
134,0.11791058
135,0.12041511
136,0.10444936
137,0.06890957
138,0.02148953
139,-0.02925390
140,-0.08136684
141,-0.13032830
142,-0.14292753
143,-0.11458662
144,-0.06617302
145,-0.02002474
146,0.01538941
147,0.05047446
148,0.07833967
