# fecha            = 2026-08-18T19:07:53
# firmware         = PCM1808_ESP32C3
# f_start_ghz      = 1.0
# f_stop_ghz       = 2.0
# bw_mhz           = 1000.0
# t_sweep_ms       = 300.0
# hz_por_metro     = 22.2222
# fs               = 64000
# dec              = 16
# fs_eff           = 4000.0000
# modo             = continuo
# rafaga_on        = 0
# rafaga_off       = 0
# canales          = L
# unidad           = V
# nota             = Grabacion Variacion Distancia #1: 10cm - 70cm
#
# --- volcado de 'info' del firmware ---
# ---------------- ESTADO ----------------
#   fs (reloj ADC)   : 64000 Hz
#   D  (diezmado)    : 16
#   fs_eff (salida)  : 4000.00 Hz
#   Banda util       : DC..2000.0 Hz (Nyquist de fs_eff)
#   Ganancia por prom: +12.0 dB de SNR
#   Modo             : off
#   Canal            : L
#   Unidad / formato : mV / solo numero
#   Captura          : continua
#   Caudal binario   : 16.0 kB/s
#   Fondo de escala  : 3.00 Vpp (+-1.500 V), VCC=5.0 V
#   1 LSB            : 178.8 nV
#   Modo osciloscopio (comando 'plot'):
#     Puntos por barrido : 400  (comando 'n')
#     Cadencia al plotter: 200 pts/s  (comando 'rate')
#     Ventana capturada  : 100.00 ms de senal real
#     Se dibuja en       : 2.00 s
#     Senal maxima visible: 2000 Hz (Nyquist de fs_eff)
#   Recordatorio del pasa-altos del PCM1808:
#     HPF digital interno = 1.9e-5 * fs = 1.22 Hz
#     + el capacitor de acople del modulo contra 60 kohm.
#     Por debajo de ~5 Hz la medida NO es confiable.
# ----------------------------------------
#
idx,V
0,0.11877170
1,0.04583576
2,-0.03149367
3,-0.14547546
4,-0.40165150
5,-0.56930602
6,-0.37537432
7,-0.21856543
8,-0.12546223
9,-0.06391168
10,-0.00372139
11,0.07369198
12,0.15238166
13,0.20865619
14,0.22914545
15,0.18696825
16,0.05719649
17,-0.10217717
18,-0.37816456
19,-0.63686001
20,-0.67224324
21,-0.53328478
22,-0.33701444
23,-0.15927425
24,-0.03920861
25,0.07337046
26,0.20541796
27,0.10874339
28,-0.00161741
29,-0.09543203
30,-0.18459073
31,-0.25053370
32,-0.28934318
33,-0.28631371
34,-0.23603290
35,-0.15695336
36,-0.06706308
37,0.03428824
38,0.18292531
39,0.15127914
40,0.07319939
41,0.02681682
42,-0.03256956
43,-0.07434170
44,-0.09030524
45,-0.09173098
46,-0.08653584
47,-0.08130254
48,-0.07638091
49,-0.07159893
50,-0.06703623
51,-0.06268194
52,-0.05852142
53,-0.05451675
54,-0.05072666
55,-0.04687758
56,-0.04330144
57,-0.03993900
58,-0.02947398
59,0.00145191
60,0.05317351
61,0.10985465
62,0.15194415
63,0.22526452
64,0.19247800
65,0.04527217
66,-0.05362844
67,-0.13493404
68,-0.18965387
69,-0.20757584
70,-0.17469856
71,-0.10685422
72,-0.02030166
73,0.07685971
74,0.16921766
75,0.27538919
76,0.29639277
77,0.14366978
78,0.02940067
79,-0.10219203
80,-0.27573901
81,-0.44408566
82,-0.51245415
83,-0.35598624
84,-0.02263888
85,0.19958653
86,0.34184405
87,0.41792142
88,0.40211064
89,0.33510631
90,0.24414930
91,0.14468856
92,0.05986588
93,0.00363750
94,-0.06336364
95,-0.16682048
96,-0.32523167
97,-0.39870924
98,-0.08175655
99,0.10586740
100,0.19254836
101,0.25584996
102,0.31131870
103,0.35125026
104,0.36610019
105,0.35440335
106,0.32165176
107,0.26178455
108,0.17264438
109,0.06570015
110,-0.04686030
111,-0.15385851
112,-0.23167780
113,-0.34296200
114,-0.40698850
115,-0.25212985
116,-0.05373092
117,0.09800920
118,0.21631055
119,0.29617399
120,0.34351972
121,0.35998237
122,0.34127864
123,0.29929510
124,0.24307059
125,0.17245327
126,0.08608030
127,0.00158219
128,-0.08819140
129,-0.18696514
130,-0.28781986
131,-0.39404368
132,-0.45500779
133,-0.34971714
134,-0.15451463
135,0.01650672
136,0.13268605
137,0.22218651
138,0.29233837
139,0.34289718
140,0.36395884
141,0.34457511
142,0.30618477
143,0.25676173
144,0.18297929
145,0.07973295
146,-0.04536982
147,-0.19154213
148,-0.30228138
149,-0.39539954
150,-0.49019757
151,-0.51283872
152,-0.40032387
153,-0.24857944
154,-0.11012383
155,0.00664308
156,0.12348819
157,0.23062778
158,0.32790899
159,0.39714926
160,0.33602178
161,0.18250281
162,0.03149896
163,-0.07688820
164,-0.15919612
165,-0.22674885
166,-0.28802675
167,-0.34258345
168,-0.38537452
169,-0.41721106
170,-0.41800305
171,-0.35887346
172,-0.23289096
173,-0.09090214
174,0.10697226
175,0.36131141
176,0.44721133
177,0.34683043
178,0.21709594
179,0.09553811
180,-0.01020670
181,-0.09338640
182,-0.16328323
183,-0.22907180
184,-0.29134589
185,-0.35444647
186,-0.37439167
187,-0.30389756
188,-0.10062385
189,0.25510249
190,0.46511784
191,0.40681547
192,0.31525335
193,0.23610923
194,0.16739163
195,0.10607943
196,0.03775955
197,-0.02752914
198,-0.10475677
199,-0.18272331
200,-0.25372687
201,-0.31176579
202,-0.28712383
203,-0.12928745
204,0.08544926
205,0.29465795
206,0.41228494
207,0.44132772
208,0.40495840
209,0.33874974
210,0.27154744
211,0.19804701
212,0.12043962
213,0.04280651
214,-0.03427908
215,-0.10999496
216,-0.17722408
217,-0.24266893
218,-0.28665555
219,-0.25439841
220,-0.17094274
221,-0.07172668
222,0.04031233
223,0.14831422
224,0.25303826
225,0.32664150
226,0.36190191
227,0.35653573
228,0.29195729
229,0.18589887
230,0.04510311
231,-0.08800920
232,-0.14754301
233,-0.18593347
234,-0.22583911
235,-0.24192452
236,-0.22381233
237,-0.17322490
238,-0.11301217
239,-0.04394137
240,0.03165274
241,0.11672233
242,0.20147538
243,0.28665578
244,0.34156418
245,0.29869476
246,0.15618777
247,-0.02811401
248,-0.15305978
249,-0.25141498
250,-0.33975440
251,-0.33764046
252,-0.27114588
253,-0.18956517
254,-0.11311032
255,-0.02100889
256,0.12041277
257,0.13025586
258,0.12426292
259,0.11032711
260,0.09437243
261,0.07767408
262,0.06201321
263,0.04771993
264,0.03397074
265,0.02268844
266,0.01257131
267,0.00328224
268,-0.00504070
269,-0.01169529
270,-0.01797307
271,-0.02319678
272,-0.02740897
273,-0.03050149
274,-0.03275578
275,-0.03403090
276,-0.03418142
277,-0.03349596
278,-0.03156469
279,-0.02847887
280,-0.02343861
281,-0.01791845
282,-0.01092748
283,-0.00243085
284,0.00870741
285,0.01795675
286,0.02465940
287,0.02803189
288,0.02874108
289,0.02762961
290,0.02518268
291,0.02197414
292,0.01820058
293,0.01439610
294,0.01073687
295,0.00720113
296,0.00389328
297,0.00093973
298,-0.00139638
299,-0.00339882
300,-0.00499588
301,-0.00627260
302,-0.00697016
303,-0.00801120
304,-0.00830990
305,-0.00829592
306,-0.00795849
307,-0.00714090
308,-0.00637787
