# fecha            = 2026-08-18T19:10:18
# firmware         = PCM1808_ESP32C3
# f_start_ghz      = 1.0
# f_stop_ghz       = 2.0
# bw_mhz           = 1000.0
# t_sweep_ms       = 50.0
# hz_por_metro     = 133.3333
# fs               = 64000
# dec              = 8
# fs_eff           = 8000.0000
# modo             = continuo
# rafaga_on        = 0
# rafaga_off       = 0
# canales          = L
# unidad           = V
# nota             = Primera medicion con fprf baja
#
# --- volcado de 'info' del firmware ---
# ---------------- ESTADO ----------------
#   fs (reloj ADC)   : 64000 Hz
#   D  (diezmado)    : 8
#   fs_eff (salida)  : 8000.00 Hz
#   Banda util       : DC..4000.0 Hz (Nyquist de fs_eff)
#   Ganancia por prom: +9.0 dB de SNR
#   Modo             : off
#   Canal            : L
#   Unidad / formato : mV / solo numero
#   Captura          : continua
#   Caudal binario   : 32.0 kB/s
#   Fondo de escala  : 3.00 Vpp (+-1.500 V), VCC=5.0 V
#   1 LSB            : 178.8 nV
#   Modo osciloscopio (comando 'plot'):
#     Puntos por barrido : 400  (comando 'n')
#     Cadencia al plotter: 200 pts/s  (comando 'rate')
#     Ventana capturada  : 50.00 ms de senal real
#     Se dibuja en       : 2.00 s
#     Senal maxima visible: 4000 Hz (Nyquist de fs_eff)
#   Recordatorio del pasa-altos del PCM1808:
#     HPF digital interno = 1.9e-5 * fs = 1.22 Hz
#     + el capacitor de acople del modulo contra 60 kohm.
#     Por debajo de ~5 Hz la medida NO es confiable.
# ----------------------------------------
#
idx,V
0,0.11882734
1,-0.04856924
2,-0.14132982
3,-0.10002807
4,0.05716842
5,0.14032745
6,0.08200631
7,-0.05568601
8,-0.18177558
9,-0.13434564
10,0.08465344
11,0.18411179
12,0.00862212
13,-0.14153340
14,-0.10842057
15,0.04692773
16,0.20208061
17,-0.07684585
18,-0.19652703
19,0.04391371
20,0.22812000
21,0.09837949
22,-0.16200733
23,-0.09058280
24,0.14827390
25,0.13891929
26,0.01606818
27,-0.06770305
28,-0.09414107
29,-0.04407111
30,0.11884718
31,0.17316774
32,0.00662850
33,-0.20239632
34,-0.22657035
35,-0.06391704
36,0.15477264
37,0.22195825
38,0.04610322
39,-0.15385357
40,-0.16615131
41,-0.03182416
42,0.11510108
43,0.16505882
44,0.09652352
45,-0.00508511
46,-0.08110162
47,-0.07020738
48,-0.02027307
49,0.01824917
50,0.06436879
51,0.10445903
52,0.10642297
53,0.03942427
54,-0.09283713
55,-0.19918859
56,-0.10101597
57,0.14283693
58,0.23085785
59,0.09190185
60,-0.07543863
61,-0.17023806
62,-0.17307475
63,-0.10712698
64,0.00061568
65,0.10623025
66,0.16029091
67,0.09482507
68,-0.08610772
69,-0.18010807
70,-0.10881094
71,0.01244330
72,0.09363797
73,0.11934811
74,0.09789419
75,0.05304708
76,0.00228026
77,-0.04750847
78,-0.06524650
79,-0.02715321
80,0.05151978
81,0.11710165
82,0.12539506
83,0.06302002
84,-0.03458011
85,-0.11925723
86,-0.11037333
87,0.01332924
88,0.05763873
89,0.05279312
90,0.00572222
91,-0.04670334
92,-0.08277639
93,-0.09598464
94,-0.09301114
95,-0.08770385
96,-0.06060661
97,-0.01057523
98,0.04291990
99,0.06823350
100,0.04576416
101,-0.04982883
102,-0.12204480
103,-0.07006844
104,0.03210953
105,0.11608719
106,0.13428721
107,0.08682539
108,0.00559951
109,-0.05534817
110,-0.05944861
111,-0.01945330
112,0.03476849
113,0.08168860
114,0.11216480
115,0.10431325
116,0.04348377
117,-0.06137194
118,-0.16792738
119,-0.14938414
120,0.02404404
121,0.15380049
122,0.13296342
123,0.04043019
124,-0.06763510
125,-0.15556790
126,-0.17720607
127,-0.11714318
128,0.02575350
129,0.20059995
130,0.21056721
131,0.00863472
132,-0.18975946
133,-0.14689623
134,-0.00726749
135,0.09485031
136,0.11591700
137,0.08291088
138,0.03366948
139,-0.00449867
140,-0.04787278
141,-0.08532520
142,-0.04490447
143,0.05682461
144,0.14781594
145,0.14313376
146,0.03056458
147,-0.12362840
148,-0.18721080
149,-0.05335061
150,0.17023671
151,0.20591390
152,0.02714972
153,-0.18127401
154,-0.24355419
155,-0.08973212
156,0.12654372
157,0.17295736
158,0.01895307
159,-0.08278982
160,-0.08608543
161,-0.03037519
162,0.08491362
163,0.17365623
164,0.03545185
165,-0.18618461
166,-0.03958460
167,0.20684856
168,0.15087342
169,-0.10259684
170,-0.20921355
171,0.10859122
172,0.14721033
173,-0.05543243
174,-0.14555094
175,-0.09260888
176,0.11828942
177,0.16314675
178,-0.04052257
179,-0.19503307
180,-0.12581211
181,0.02476479
182,0.13281372
183,0.11182626
